templates/koran.html
Chapter|Verse|Book|Sentence
3|61|Al-Imran: The Family Of Imran|And whoso disputeth with thee concerning him, after the knowledge which  hath come unto thee, say (unto him): Come! We will summon our sons and your sons,  and our women and your women, and ourselves and yourselves, then we will pray  humbly (to our Lord) and (solemnly) invoke the curse of Allah upon those who lie. 
3|62|Al-Imran: The Family Of Imran|Lo! This verily is the true narrative. There is no God save Allah, and lo!  Allah, He verily is, is the Mighty, the Wise. 
3|63|Al-Imran: The Family Of Imran|And if they turn away, then lo! Allah is Aware of (who are) the corrupters. 
3|64|Al-Imran: The Family Of Imran|Say: O People of the Scripture! Come to an agreement between us and you:  that we shall worship none but Allah, and that we shall ascribe no partner unto Him,  and that none of us shall take others for lords beside Allah. And if they turn away,  then say: Bear witness that we are they who have surrendered (unto Him). 
3|65|Al-Imran: The Family Of Imran|O People of the Scripture! Why will ye argue about Abraham, when the  Torah and the Gospel were not revealed till after him ? Have ye then no sense ? 
3|66|Al-Imran: The Family Of Imran|Lo! ye are those who argue about that whereof ye have some knowledge:  Why then argue ye concerning that whereof ye have no knowledge ? Allah knoweth.  Ye know not. 
3|67|Al-Imran: The Family Of Imran|Abraham was not a Jew, nor yet a Christian; but he was an upright man who  had surrendered (to Allah), and he was not of the idolaters. 
3|68|Al-Imran: The Family Of Imran|Lo! those of mankind who have the best claim to Abraham are those who  followed him, and this Prophet and those who believe (with him); and Allah is the  Protecting Guardian of the believers. 
3|69|Al-Imran: The Family Of Imran|A party of the People of the Scripture long to make you go astray; and they  make none to go astray except themselves, but they perceive not. 
3|70|Al-Imran: The Family Of Imran|O People of the Scripture! Why disbelieve ye in the revelations of Allah,  when ye (yourselves) bear witness (to their truth) ? 
3|71|Al-Imran: The Family Of Imran|O People of the Scripture! Why confound ye truth with falsehood and  knowingly conceal the truth ? 
3|72|Al-Imran: The Family Of Imran|And a party of the People of the Scripture say: Believe in that which hath  been revealed unto those who believe at the opening of the day, and disbelieve at the  end thereof, in order that they may return; 
3|73|Al-Imran: The Family Of Imran|And believe not save in one who followeth your religion - Say (O  Muhammad): Lo! the guidance is Allah's Guidance - that anyone is given the like of  that which was given unto you or that they may argue with you in the presence of  their Lord. Say (O Muhammad): Lo! the bounty is in Allah's hand. He bestoweth it on  whom He will. Allah is All-Embracing, All-Knowing. 
3|74|Al-Imran: The Family Of Imran|He selecteth for His mercy whom He will. Allah is of Infinite Bounty. 
3|75|Al-Imran: The Family Of Imran|Among the People of the Scripture there is he who, if thou trust him with a  weight of treasure, will return it to thee. And among them there is he who, if thou  trust him with a piece of gold, will not return it to thee unless thou keep standing over  him. That is because they say: We have no duty to the Gentiles. They speak a lie  concerning Allah knowingly. 
3|76|Al-Imran: The Family Of Imran|Nay, but (the chosen of Allah is) he who fulfilleth his pledge and wardeth off  (evil); for lo! Allah loveth those who ward off (evil). 
3|77|Al-Imran: The Family Of Imran|Lo! those who purchase a small gain at the cost of Allah's covenant and their  oaths, they have no portion in the Hereafter. Allah will neither speak to them nor look  upon them on the Day of Resurrection, nor will He make them grow. Theirs will be a  painful doom. 
3|78|Al-Imran: The Family Of Imran|And lo! there is a party of them who distort the Scripture with their tongues,  that ye may think that what they say is from the Scripture, when it is not from the  Scripture. And they say: It is from Allah, when it is not from Allah; and they speak a  lie concerning Allah knowingly. 
3|79|Al-Imran: The Family Of Imran|It is not (possible) for any human being unto whom Allah had given the  Scripture and wisdom and the prophethood that he should afterwards have said unto  mankind: Be slaves of me instead of Allah; but (what he said was): Be ye faithful  servants of the Lord by virtue of your constant teaching of the Scripture and of your  constant study thereof. 
3|80|Al-Imran: The Family Of Imran|And he commanded you not that ye should take the angels and the prophets  for lords. Would he command you to disbelieve after ye had surrendered (to Allah) ? 
3|81|Al-Imran: The Family Of Imran|When Allah made (His) covenant with the prophets, (He said): Behold that  which I have given you of the Scripture and knowledge. And afterward there will  come unto you a messenger, confirming that which ye possess. Ye shall believe in  him and ye shall help him. He said: Do ye agree, and will ye take up My burden  (which I lay upon you) in this (matter) ? They answered: We agree. He said: Then  bear ye witness. I will be a witness with you. 
3|82|Al-Imran: The Family Of Imran|Then whosoever after this shall turn away: they will be miscreants. 
3|83|Al-Imran: The Family Of Imran|Seek they other than the religion of Allah, when unto Him submitteth  whosoever is in the heavens and the earth, willingly or unwillingly, and unto Him  they will be returned. 
3|84|Al-Imran: The Family Of Imran|Say (O Muhammad): We believe in Allah and that which is revealed unto us  and that which was revealed unto Abraham and Ishmael and Isaac and Jacob and the  tribes, and that which was vouchsafed unto Moses and Jesus and the prophets from  their Lord. We make no distinction between any of them, and unto Him we have  surrendered. 
3|85|Al-Imran: The Family Of Imran|And whoso seeketh as religion other than the Surrender (to Allah) it will not  be accepted from him, and he will be a loser in the Hereafter. 
3|86|Al-Imran: The Family Of Imran|How shall Allah guide a people who disbelieved after their belief and (after)  they bore witness that the messenger is true and after clear proofs (of Allah's  Sovereignty) had come unto them. And Allah guideth not wrongdoing folk. 
3|87|Al-Imran: The Family Of Imran|As for such, their guerdon is that on them rests the curse of Allah and of  angels and of men combined. 
3|88|Al-Imran: The Family Of Imran|They will abide therein. Their doom will not be lightened, neither will they  be reprieved; 
3|89|Al-Imran: The Family Of Imran|Save those who afterward repent and do right. Lo! Allah is Forgiving,  Merciful. 
3|90|Al-Imran: The Family Of Imran|Lo! those who disbelieve after their (profession of) belief, and afterward  grow violent in disbelief: their repentance will not be accepted. And such are those  who are astray. 
3|91|Al-Imran: The Family Of Imran|Lo! those who disbelieve, and die in disbelief, the (whole) earth full of gold  would not be accepted from such an one if it were offered as a ransom (for his soul).  Theirs will be a painful doom and they will have no helpers. 
3|92|Al-Imran: The Family Of Imran|Ye will not attain unto piety until ye spend of that which ye love. And  whatsoever ye spend, Allah is Aware thereof. 
3|93|Al-Imran: The Family Of Imran|All food was lawful unto the Children of Israel, save that which Israel  forbade himself, (in days) before the Torah was revealed. Say: Produce the Torah and  read it (unto us) if ye are truthful. 
3|94|Al-Imran: The Family Of Imran|And whoever shall invent a falsehood after that concerning Allah, such will  be wrong-doers. 
3|95|Al-Imran: The Family Of Imran|Say: Allah speaketh truth. So follow the religion of Abraham, the upright. He  was not of the idolaters. 
3|96|Al-Imran: The Family Of Imran|Lo! the first Sanctuary appointed for mankind was that at Becca, a blessed  place, a guidance to the peoples; 
3|97|Al-Imran: The Family Of Imran|Wherein are plain memorials (of Allah's guidance); the place where  Abraham stood up to pray; and whosoever entereth it is safe. And pilgrimage to the  House is a duty unto Allah for mankind, for him who can find a way thither. As for  him who disbelieveth, (let him know that) lo! Allah is Independent of (all) creatures. 
3|98|Al-Imran: The Family Of Imran|Say: O People of the Scripture! Why disbelieve ye in the revelations of  Allah, when Allah (Himself) is Witness of what ye do ? 
3|99|Al-Imran: The Family Of Imran|Say: O People of the Scripture! Why drive ye back believers from the way of  Allah, seeking to make it crooked, when ye are witnesses (to Allah's guidance) ?  Allah is not unaware of what ye do. 
3|100|Al-Imran: The Family Of Imran|O ye who believe! If ye obey a party of those who have received the  Scripture they will make you disbelievers after your belief. 
3|101|Al-Imran: The Family Of Imran|How can ye disbelieve, when it is ye unto whom Allah's revelations are  recited, and His messenger is in your midst ? He who holdeth fast to Allah, he indeed  is guided unto a right path. 
3|102|Al-Imran: The Family Of Imran|O ye who believe! Observe your duty to Allah with right observance, and die  not save as those who have surrendered (unto Him) 
3|103|Al-Imran: The Family Of Imran|And hold fast, all of you together, to the cable of Allah, and do not separate.  And remember Allah's favour unto you: How ye were enemies and He made  friendship between your hearts so that ye became as brothers by His grace; and (how)  ye were upon the brink of an abyss of fire, and He did save you from it. Thus Allah  maketh clear His revelations unto you, that haply ye may be guided, 
3|104|Al-Imran: The Family Of Imran|And there may spring from you a nation who invite to goodness, and enjoin  right conduct and forbid indecency. Such are they who are successful. 
3|105|Al-Imran: The Family Of Imran|And be ye not as those who separated and disputed after the clear proofs had  come unto them. For such there is an awful doom, 
3|106|Al-Imran: The Family Of Imran|On the Day when (some) faces will be whitened and (some) faces will be  blackened; and as for those whose faces have been blackened, it will be said unto  them: Disbelieved ye after your (profession of) belief ? Then taste the punishment for  that ye disbelieved. 
3|107|Al-Imran: The Family Of Imran|And as for those whose faces have been whitened, in the mercy of Allah they  dwell for ever. 
3|108|Al-Imran: The Family Of Imran|These are revelations of Allah. We recite them unto thee in truth. Allah  willeth no injustice to (His) creatures. 
3|109|Al-Imran: The Family Of Imran|Unto Allah belongeth whatsoever is in the heavens and whatsoever is in the  earth; and unto Allah all things are returned. 
3|110|Al-Imran: The Family Of Imran|Ye are the best community that hath been raised up for mankind. Ye enjoin  right conduct and forbid indecency; and ye believe in Allah. And if the People of the  Scripture had believed it had been better for them. Some of them are believers; but  most of them are evil-livers. 
3|111|Al-Imran: The Family Of Imran|They will not harm you save a trifling hurt, and if they fight against you they  will turn and flee. And afterward they will not be helped. 
3|112|Al-Imran: The Family Of Imran|Ignominy shall be their portion wheresoever they are found save (where they  grasp) a rope from Allah and a rope from men. They have incurred anger from their  Lord, and wretchedness is laid upon them. That is because they used to disbelieve the  revelations of Allah, and slew the prophets wrongfully. That is because they were  rebellious and used to transgress. 
3|113|Al-Imran: The Family Of Imran|They are not all alike. Of the People of the Scripture there is a staunch  community who recite the revelations of Allah in the night season, falling prostrate  (before Him). 
3|114|Al-Imran: The Family Of Imran|They believe in Allah and the Last Day, and enjoin right conduct and forbid  indecency, and vie one with another in good works. These are of the righteous. 
3|115|Al-Imran: The Family Of Imran|And whatever good they do, they will not be denied the meed thereof. Allah  is Aware of those who ward off (evil). 
3|116|Al-Imran: The Family Of Imran|Lo! the riches and the progeny of those who disbelieve will not avail them  aught against Allah; and such are rightful owners of the Fire. They will abide therein. 
3|117|Al-Imran: The Family Of Imran|The likeness of that which they spend in this life of the world is as the  likeness of a biting, icy wind which smiteth the harvest of a people who have  wronged themselves, and devastateth it. Allah wronged them not, but they do wrong  themselves. 
3|118|Al-Imran: The Family Of Imran|O ye who believe! Take not for intimates others than your own folk, who  would spare no pains to ruin you; they love to hamper you. Hatred is revealed by (the  utterance of) their mouths, but that which their breasts hide is greater. We have made  plain for you the revelations if ye will understand. 
3|119|Al-Imran: The Family Of Imran|Lo! ye are those who love them though they love you not, and ye believe in  all the Scripture. When they fall in with you they say: We believe; but when they go  apart they bite their finger-tips at you, for rage. Say: Perish in your rage! Lo! Allah is  Aware of what is hidden in (your) breasts. 
3|120|Al-Imran: The Family Of Imran|If a lucky chance befall you, it is evil unto them, and if disaster strike you  they rejoice thereat. But if ye persevere and keep from evil their guile will never harm  you. Lo! Allah is Surrounding what they do. 
3|121|Al-Imran: The Family Of Imran|And when thou settedst forth at daybreak from thy housefolk to assign to the  believers their positions for the battle, Allah was Hearer, Knower. 
3|122|Al-Imran: The Family Of Imran|When two parties of you almost fell away, and Allah was their Protecting  Friend. In Allah let believers put their trust. 
3|123|Al-Imran: The Family Of Imran|Allah had already given you the victory at Badr, when ye were contemptible.  So observe your duty to Allah in order that ye may be thankful. 
3|124|Al-Imran: The Family Of Imran|When thou didst say unto the believers: Is it not sufficient for you that your  Lord should support you with three thousand angels sent down (to your help) ? 
3|125|Al-Imran: The Family Of Imran|Nay, but if ye persevere, and keep from evil, and (the enemy) attack you  suddenly, your Lord will help you with five thousand angels sweeping on. 
3|126|Al-Imran: The Family Of Imran|Allah ordained this only as a message of good cheer for you, and that thereby  your hearts might be at rest - Victory cometh only from Allah, the Mighty, the Wise - 
3|127|Al-Imran: The Family Of Imran|That He may cut off a part of those who disbelieve, or overwhelm them so  that they retire, frustrated. 
3|128|Al-Imran: The Family Of Imran|It is no concern at all of thee (Muhammad) whether He relent toward them or  punish them; for they are evil-doers. 
3|129|Al-Imran: The Family Of Imran|Unto Allah belongeth whatsoever is in the heavens and whatsoever is in the  earth. He forgiveth whom He will, and punisheth whom He will. Allah is Forgiving,  Merciful. 
3|130|Al-Imran: The Family Of Imran|O ye who believe! Devour not usury, doubling and quadrupling (the sum  lent). Observe your duty to Allah, that ye may be successful. 
3|131|Al-Imran: The Family Of Imran|And ward off (from yourselves) the Fire prepared for disbelievers. 
3|132|Al-Imran: The Family Of Imran|And obey Allah and the messenger, that ye may find mercy. 
3|133|Al-Imran: The Family Of Imran|And vie one with another for forgiveness from your Lord, and for a paradise  as wide as are the heavens and the earth, prepared for those who ward off (evil); 
3|134|Al-Imran: The Family Of Imran|Those who spend (of that which Allah hath given them) in ease and in  adversity, those who control their wrath and are forgiving toward mankind; Allah  loveth the good; 
3|135|Al-Imran: The Family Of Imran|And those who, when they do an evil thing or wrong themselves, remember  Allah and implore forgiveness for their sins - Who forgiveth sins save Allah only ? -  and will not knowingly repeat (the wrong) they did. 
3|136|Al-Imran: The Family Of Imran|The reward of such will be forgiveness from their Lord, and Gardens  underneath which rivers flow, wherein they will abide for ever - a bountiful reward  for workers! 
3|137|Al-Imran: The Family Of Imran|Systems have passed away before you. Do but travel in the land and see the  nature of the consequence for those who did deny (the messengers). 
3|138|Al-Imran: The Family Of Imran|This is a declaration for mankind, a guidance and an admonition unto those  who ward off (evil) 
3|139|Al-Imran: The Family Of Imran|Faint not nor grieve, for ye will overcome them if ye are (indeed) believers. 
3|140|Al-Imran: The Family Of Imran|If ye have received a blow, the (disbelieving) people have received a blow  the like thereof. These are (only) the vicissitudes which We cause to follow one  another for mankind, to the end that Allah may know those who believe and may  choose witnesses from among you; and Allah loveth not wrong-doers. 
3|141|Al-Imran: The Family Of Imran|And that Allah may prove those who believe, and may blight the  disbelievers. 
3|142|Al-Imran: The Family Of Imran|Or deemed ye that ye would enter paradise while yet Allah knoweth not  those of you who really strive, nor knoweth those (of you) who are steadfast ? 
3|143|Al-Imran: The Family Of Imran|And verily ye used to wish for death before ye met it (in the field). Now ye  have seen it with your eyes! 
3|144|Al-Imran: The Family Of Imran|Muhammad is but a messenger, messengers (the like of whom) have passed  away before him. Will it be that, when he dieth or is slain, ye will turn back on your  heels ? He who turneth back on his heels doth no hurt to Allah, and Allah will reward  the thankful. 
3|145|Al-Imran: The Family Of Imran|No soul can ever die except by Allah's leave and at a term appointed. Whoso  desireth the reward of the world, We bestow on him thereof; and whoso desireth the  reward of the Hereafter, We bestow on him thereof. We shall reward the thankful. 
3|146|Al-Imran: The Family Of Imran|And with how many a prophet have there been a number of devoted men  who fought (beside him). They quailed not for aught that befell them in the way of  Allah, nor did they weaken, nor were they brought low. Allah loveth the steadfast. 
3|147|Al-Imran: The Family Of Imran|Their cry was only that they said: Our Lord! forgive us for our sins and  wasted efforts, make our foothold sure, and give us victory over the disbelieving folk. 
3|148|Al-Imran: The Family Of Imran|So Allah gave them the reward of the world and the good reward of the  Hereafter. Allah loveth those whose deeds are good. 
3|149|Al-Imran: The Family Of Imran|O ye who believe! if ye obey those who disbelieve, they will make you turn  back on your heels, and ye turn back as losers. 
3|150|Al-Imran: The Family Of Imran|But Allah is your Protector, and He is the Best of Helpers. 
3|151|Al-Imran: The Family Of Imran|We shall cast terror into the hearts of those who disbelieve because they  ascribe unto Allah partners, for which no warrant hath been revealed. Their habitation  is the Fire, and hapless the abode of the wrong-doers. 
3|152|Al-Imran: The Family Of Imran|Allah verily made good His promise unto you when ye routed them by His  leave, until (the moment) when your courage failed you, and ye disagreed about the  order and ye disobeyed, after He had shown you that for which ye long. Some of you  desired the world, and some of you desired the Hereafter. Therefore He made you flee  from them, that He might try you. Yet now He hath forgiven you. Allah is a Lord of  Kindness to believers. 
3|153|Al-Imran: The Family Of Imran|When ye climbed (the hill) and paid no heed to anyone, while the messenger,  in your rear, was calling you (to fight). Therefor He rewarded you grief for (his) grief,  that (He might teach) you not to sorrow either for that which ye missed or for that  which befell you. Allah is Informed of what ye do. 
3|154|Al-Imran: The Family Of Imran|Then, after grief, He sent down security for you. As slumber did it overcome  a party of you, while (the other) party, who were anxious on their own account,  thought wrongly of Allah, the thought of ignorance. They said: Have we any part in  the cause ? Say (O Muhammad): The cause belongeth wholly to Allah. They hide  within themselves (a thought) which they reveal not unto thee, saying: Had we had  any part in the cause we should not have been slain here. Say: Even though ye had  been in your houses, those appointed to be slain would have gone forth to the places  where they were to lie. (All this hath been) in order that Allah might try what is in  your breasts and prove what is in your hearts. Allah is Aware of what is hidden in the  breasts (of men). 
3|155|Al-Imran: The Family Of Imran|Lo! those of you who turned back on the day when the two hosts met, Satan  alone it was who caused them to backslide, because of some of that which they have  earned. Now Allah hath forgiven them. Lo! Allah is Forgiving, Clement. 
3|156|Al-Imran: The Family Of Imran|O ye who believe! Be not as those who disbelieved and said of their brethren  who went abroad in the land or were fighting in the field: If they had been (here) with  us they would not have died or been killed: that Allah may make it anguish in their  hearts. Allah giveth life and causeth death; and Allah is Seer of what ye do. 
3|157|Al-Imran: The Family Of Imran|And what though ye be slain in Allah's way or die therein ? Surely pardon  from Allah and mercy are better than all that they amass. 
3|158|Al-Imran: The Family Of Imran|What though ye be slain or die, when unto Allah ye are gathered ? 
3|159|Al-Imran: The Family Of Imran|It was by the mercy of Allah that thou wast lenient with them (O  Muhammad), for if thou hadst been stern and fierce of heart they would have  dispersed from round about thee. So pardon them and ask forgiveness for them and  consult with them upon the conduct of affairs. And when thou art resolved, then put  thy trust in Allah. Lo! Allah loveth those who put their trust (in Him). 
3|160|Al-Imran: The Family Of Imran|If Allah is your helper none can overcome you, and if He withdraw His help  from you, who is there who can help you after Him ? In Allah let believers put their  trust. 
3|161|Al-Imran: The Family Of Imran|It is not for any prophet to embezzle. Whoso embezzleth will bring what he  embezzled with him on the Day of Resurrection. Then every soul will be paid in full  what it hath earned; and they will not be wronged. 
3|162|Al-Imran: The Family Of Imran|Is one who followeth the pleasure of Allah as one who hath earned  condemnation from Allah, whose habitation is the Fire, a hapless journey's end ? 
3|163|Al-Imran: The Family Of Imran|There are degrees (of grace and reprobation) with Allah, and Allah is Seer of  what they do. 
3|164|Al-Imran: The Family Of Imran|Allah verily hath shown grace to the believers by sending unto them a  messenger of their own who reciteth unto them His revelations, and causeth them to  grow, and teacheth them the Scripture and wisdom; although before (he came to  them) they were in flagrant error. 
3|165|Al-Imran: The Family Of Imran|And was it so, when a disaster smote you, though ye had smitten (them with  a disaster) twice (as great), that ye said: How is this ? Say (unto them, O  Muhammad): It is from yourselves. Lo! Allah is Able to do all things. 
3|166|Al-Imran: The Family Of Imran|That which befell you, on the day when the two armies met, was by  permission of Allah; that He might know the true believers; 
3|167|Al-Imran: The Family Of Imran|And that He might know the hypocrites, unto whom it was said: Come, fight  in the way of Allah, or defend yourselves. They answered: If we knew aught of  fighting we would follow you. On that day they were nearer disbelief than faith. They  utter with their mouths a thing  which is not in their hearts. Allah is Best Aware of  what they hide. 
3|168|Al-Imran: The Family Of Imran|Those who, while they sat at home, said of their brethren (who were fighting  for the cause of Allah): If they had been guided by us they would not have been slain.  Say (unto them, O Muhammad): Then avert death from yourselves if ye are truthful. 
3|169|Al-Imran: The Family Of Imran|Think not of those, who are slain in the way of Allah, as dead. Nay, they are  living. With their Lord they have provision. 
3|170|Al-Imran: The Family Of Imran|Jubilant (are they) because of that which Allah hath bestowed upon them of  His bounty, rejoicing for the sake of those who have not joined them but are left  behind: That there shall no fear come upon them neither shall they grieve. 
3|171|Al-Imran: The Family Of Imran|They rejoice because of favour from Allah and kindness, and that Allah  wasteth not the wage of the believers. 
3|172|Al-Imran: The Family Of Imran|As for those who heard the call of Allah and His messenger after the harm  befell them (in the fight); for such of them as do right and ward off (evil), there is  great reward. 
3|173|Al-Imran: The Family Of Imran|Those unto whom men said: Lo! the people have gathered against you,  therefor fear them. (The threat of danger) but increased the faith of them and they  cried: Allah is Sufficient for us! Most Excellent is He in Whom we trust! 
3|174|Al-Imran: The Family Of Imran|So they returned with grace and favour from Allah, and no harm touched  them. They followed the good pleasure of Allah, and Allah is of Infinite Bounty. 
3|175|Al-Imran: The Family Of Imran|It is only the devil who would make (men) fear his partisans. Fear them not;  fear Me, if ye are true believers. 
3|176|Al-Imran: The Family Of Imran|Let not their conduct grieve thee, who run easily to disbelief, for lo! they  injure Allah not at all. It is Allah's Will to assign them no portion in the Hereafter, and  theirs will be an awful doom. 
3|177|Al-Imran: The Family Of Imran|Those who purchase disbelief at the price of faith harm Allah not at all, but  theirs will be a painful doom. 
3|178|Al-Imran: The Family Of Imran|And let not those who disbelieve imagine that the rein We give them bodeth  good unto their souls. We only give them rein that they may grow in sinfulness. And  theirs will be a shameful doom. 
3|179|Al-Imran: The Family Of Imran|It is not (the purpose) of Allah to leave you in your present state till He shall  separate the wicked from the good. And it is not (the purpose of) Allah to let you  know the Unseen. But Allah chooseth of His messengers whom He will, (to receive  knowledge thereof). So believe in Allah and His messengers. If ye believe and ward  off (evil), yours will be a vast reward. 
3|180|Al-Imran: The Family Of Imran|And let not those who hoard up that which Allah hath bestowed upon them  of His bounty think that it is better for them. Nay, it is worse for them. That which  they hoard will be their collar on the Day of Resurrection. Allah's is the heritage of  the heavens and the earth, and Allah is Informed of what ye do. 
3|181|Al-Imran: The Family Of Imran|Verily Allah heard the saying of those who said, (when asked for  contributions to the war): "Allah, forsooth, is poor, and we are rich!" We shall record  their saying with their slaying of the prophets wrongfully and We shall say: Taste ye  the punishment of burning! 
3|182|Al-Imran: The Family Of Imran|This is on account of that which your own hands have sent before (you to the  judgment). Allah is no oppressor of (His) bondmen. 
3|183|Al-Imran: The Family Of Imran|(The same are) those who say: Lo! Allah hath charged us that we believe not  in any messenger until he bring us an offering which fire (from heaven) shall devour.  Say (unto them, O Muhammad): Messengers came unto you before me with miracles,  and with that (very miracle) which ye describe. Why then did ye slay them ? (Answer  that) if ye are truthful! 
3|184|Al-Imran: The Family Of Imran|And if they deny thee, even so did they deny messengers who were before  thee, who came with miracles and with the Psalms and with the Scripture giving light. 
3|185|Al-Imran: The Family Of Imran|Every soul will taste of death. And ye will be paid on the Day of  Resurrection only that which ye have fairly earned. Whoso is removed from the Fire  and is made to enter paradise, he indeed is triumphant. The life of this world is but  comfort of illusion. 
3|186|Al-Imran: The Family Of Imran|Assuredly ye will be tried in your property and in your persons, and ye will  hear much wrong from those who were given the Scripture before you, and from the  idolaters. But if ye persevere and ward off (evil), then that is of the steadfast heart of  things. 
3|187|Al-Imran: The Family Of Imran|And (remember) when Allah laid a charge on those who had received the  Scripture (He said): Ye are to expound it to mankind and not to hide it. But they flung  it behind their backs and bought thereby a little gain. Verily evil is that which they  have gained thereby. 
3|188|Al-Imran: The Family Of Imran|Think not that those who exult in what they have given, and love to be  praised for what they have not done - Think not, they are in safety from the doom. A  painful doom is theirs. 
3|189|Al-Imran: The Family Of Imran|Unto Allah belongeth the Sovereignty of the heavens and the earth. Allah is  Able to do all things. 
3|190|Al-Imran: The Family Of Imran|Lo! In the creation of the heavens and the earth and (in) the difference of  night and day are tokens (of His Sovereignty) for men of understanding, 
3|191|Al-Imran: The Family Of Imran|Such as remember Allah, standing, sitting, and reclining, and consider the  creation of the heavens and the earth, (and say): Our Lord! Thou createdst not this in  vain. Glory be to Thee! Preserve us from the doom of Fire. 
3|192|Al-Imran: The Family Of Imran|Our Lord! Whom Thou causest to enter the Fire: him indeed Thou hast  confounded. For evil-doers there will be no helpers. 
3|193|Al-Imran: The Family Of Imran|Our Lord! Lo! we have heard a crier calling unto Faith: "Believe ye in your  Lord!" So we believed. Our Lord! Therefor forgive us our sins, and remit from us our  evil deeds, and make us die the death of the righteous. 
3|194|Al-Imran: The Family Of Imran|Our Lord! And give us that which Thou hast promised to us by Thy  messengers. Confound us not upon the Day of Resurrection. Lo! Thou breakest not  the tryst. 
3|195|Al-Imran: The Family Of Imran|And their Lord hath heard them (and He saith): Lo! I suffer not the work of  any worker, male or female, to be lost. Ye proceed one from another. So those who  fled and were driven forth from their homes and suffered damage for My cause, and  fought and were slain, verily I shall remit their evil deeds from them and verily I shall  bring them into Gardens underneath which rivers flow - A reward from Allah. And  with Allah is the fairest of rewards. 
3|196|Al-Imran: The Family Of Imran|Let not the vicissitude (of the success) of those who disbelieve, in the land,  deceive thee (O Muhammad). 
3|197|Al-Imran: The Family Of Imran|It is but a brief comfort. And afterward their habitation will be hell, an ill  abode. 
3|198|Al-Imran: The Family Of Imran|But those who keep their duty to their Lord, for them are Gardens underneath  which rivers flow, wherein they will be safe for ever. A gift of welcome from their  Lord. That which Allah hath in store is better for the righteous. 
3|199|Al-Imran: The Family Of Imran|And lo! of the People of the Scripture there are some who believe in Allah  and that which is revealed unto you and that which was revealed unto them, humbling  themselves before Allah. They purchase not a trifling gain at the price of the  revelations of Allah. Verily their reward is with their Lord. Lo! Allah is swift to take  account. 
3|200|Al-Imran: The Family Of Imran|O ye who believe! Endure, outdo all others in endurance, be ready, and  observe your duty to Allah, in order that ye may succeed. 
4|1|an-Nisa': Women|O mankind! Be careful of your duty to your Lord Who created you from a  single soul and from it created its mate and from them twain hath spread abroad a  multitude of men and women. Be careful of your duty toward Allah in Whom ye  claim (your rights) of one another, and toward the wombs (that bare you). Lo! Allah  hath been a watcher over you. 
4|2|an-Nisa': Women|Give unto orphans their wealth. Exchange not the good for the bad (in your  management thereof) nor absorb their wealth into your own wealth. Lo! that would be  a great sin. 
4|3|an-Nisa': Women|And if ye fear that ye will not deal fairly by the orphans, marry of the  women, who seem good to you, two or three or four; and if ye fear that ye cannot do  justice (to so many) then one (only) or (the captives) that your right hands possess.  Thus it is more likely that ye will not do injustice. 
4|4|an-Nisa': Women|And give unto the women (whom ye marry) free gift of their marriage  portions; but if they of their own accord remit unto you a part thereof, then ye are  welcome to absorb it (in your wealth). 
4|5|an-Nisa': Women|Give not unto the foolish (what is in) your (keeping of their) wealth, which  Allah hath given you to maintain; but feed and clothe them from it, and speak kindly  unto them. 
4|6|an-Nisa': Women|Prove orphans till they reach the marriageable age; then, if ye find them of  sound judgment, deliver over unto them their fortune; and devour it not by  squandering and in haste lest they should grow up Whoso (of the guardians) is rich,  let him abstain generously (from taking of the property of orphans); and whoso is  poor let him take thereof in reason (for his guardianship). And when ye deliver up  their fortune unto orphans, have (the transaction) witnessed in their presence. Allah  sufficeth as a Reckoner. 
4|7|an-Nisa': Women|Unto the men (of a family) belongeth a share of that which parents and near  kindred leave, and unto the women a share of that which parents and near kindred  leave, whether it be little or much - a legal share. 
4|8|an-Nisa': Women|And when kinsfolk and orphans and the needy are present at the division (of  the heritage), bestow on them therefrom and speak kindly unto them. 
4|9|an-Nisa': Women|And let those fear (in their behaviour toward orphans) who if they left behind  them weak offspring would be afraid for them. So let them mind their duty to Allah,  and speak justly. 
4|10|an-Nisa': Women|Lo! Those who devour the wealth of orphans wrongfully, they do but  swallow fire into their bellies, and they will be exposed to burning flame. 
4|11|an-Nisa': Women|Allah chargeth you concerning (the provision for) your children: to the male  the equivalent of the portion of two females, and if there be women more than two,  then theirs is two-thirds of the inheritance, and if there be one (only) then the half.  And to each of his parents a sixth of the inheritance, if he have a son; and if he have  no son and his parents are his heirs, then to his mother appertaineth the third; and if  he have brethren, then to his mother appertaineth the sixth, after any legacy he may  have bequeathed, or debt (hath been paid). Your parents and your children: Ye know  not which of them is nearer unto you in usefulness. It is an injunction from Allah. Lo!  Allah is Knower, Wise. 
